frame,nelectron,electron_count,electron_count_error,hermiticity_rel_error,min_natural_occ,max_natural_occ,natural_occ_below_0,natural_occ_above_2,idempotency_rel_error,min_mulliken_charge,max_mulliken_charge
0,16.0,16.000000000000018,1.7763568394002505e-14,4.73170733072876e-16,8.37002414595107e-05,1.9998603839763862,0.0,0.0,0.0821815748926351,-0.22392518866819788,0.11196259433680211
150,16.0,16.00000000000004,3.907985046680551e-14,2.83221558547151e-16,8.722478123417515e-05,1.9998434776830731,0.0,0.0,0.04962928839762175,-0.20476729897540835,0.10238364969896996
299,16.0,16.000000000000014,1.4210854715202004e-14,4.329405333175502e-16,5.533932451186195e-05,1.9998188081090138,0.0,0.0,0.037795217924593456,-0.19854148091610924,0.0992707412629722
