frame,nelectron,electron_count,electron_count_error,hermiticity_rel_error,min_natural_occ,max_natural_occ,natural_occ_below_0,natural_occ_above_2,idempotency_rel_error,min_mulliken_charge,max_mulliken_charge
0,16.0,16.000000000000025,2.4868995751603507e-14,3.2489578466430555e-16,8.516341577187903e-05,1.9998606330540252,0.0,0.0,0.08191076257981957,-0.22410430410261473,0.11205215205044883
150,16.0,16.000000000000004,3.552713678800501e-15,3.315600736393409e-16,8.743495194542208e-05,1.9998319086193066,0.0,0.0,0.047460091282382634,-0.2010973873139852,0.10054869386525389
299,16.0,16.000000000000025,2.4868995751603507e-14,2.915617194794127e-16,7.988443707857424e-05,1.9998203015922993,0.0,0.0,0.038295194753193006,-0.18491971577036903,0.09245985945398005
