frame,nelectron,electron_count,electron_count_error,hermiticity_rel_error,min_natural_occ,max_natural_occ,natural_occ_below_0,natural_occ_above_2,idempotency_rel_error,min_mulliken_charge,max_mulliken_charge
0,16.0,16.000000000000018,1.7763568394002505e-14,2.464895206664931e-16,8.530818605065607e-05,1.9998605008799943,0.0,0.0,0.08190261185715403,-0.22410383877177686,0.11205191938507542
150,16.0,16.00000000000001,1.0658141036401503e-14,3.5047279144001267e-16,8.449510324084112e-05,1.9998218731455313,0.0,0.0,0.04225026278921905,-0.20118548807722103,0.10059274465761625
299,16.0,16.000000000000014,1.4210854715202004e-14,2.7040061209285346e-16,8.453754825276259e-05,1.9998317141163822,0.0,0.0,0.04473349433096914,-0.19802189555325356,0.09901094956907419
