frame,nelectron,electron_count,electron_count_error,hermiticity_rel_error,min_natural_occ,max_natural_occ,natural_occ_below_0,natural_occ_above_2,idempotency_rel_error,min_mulliken_charge,max_mulliken_charge
0,16.0,16.000000000000007,7.105427357601002e-15,3.555579024668665e-16,8.722480156098399e-05,1.999857130509296,0.0,0.0,0.08062229750960657,-0.22449314781246166,0.11224657390976978
150,16.0,15.999999999999979,-2.1316282072803006e-14,3.1029997208911646e-16,8.091411102677617e-05,1.9998358874496907,0.0,0.0,0.0515789257301913,-0.20941700652378525,0.10470850449475422
299,16.0,16.000000000000014,1.4210854715202004e-14,3.729742106885144e-16,7.445773422445282e-05,1.9998201451991484,0.0,0.0,0.034626268201976,-0.20285215264339929,0.10142607831466044
