frame,nelectron,electron_count,electron_count_error,hermiticity_rel_error,min_natural_occ,max_natural_occ,natural_occ_below_0,natural_occ_above_2,idempotency_rel_error,min_mulliken_charge,max_mulliken_charge
0,16.0,16.000000000000014,1.4210854715202004e-14,2.6807880139361127e-16,8.70495043431147e-05,1.9998566783461358,0.0,0.0,0.08045431878843291,-0.22450289094386466,0.11225144547539923
150,16.0,16.00000000000003,2.842170943040401e-14,3.73613276106407e-16,8.001472320328514e-05,1.99982765611583,0.0,0.0,0.043698578594775564,-0.2032719689190463,0.10163598529368278
299,16.0,16.000000000000018,1.7763568394002505e-14,2.9039292168865576e-16,8.092357735236034e-05,1.9998362790119062,0.0,0.0,0.043126906799403314,-0.19410795846832318,0.09705398262359
